"用例编号","级别","一级模块","二级模块","功能","验证点","前置条件","测试步骤","测试数据","预期结果","测试结果","执行人","执行时间","编写人","编写时间","备注"
"APS_JCPZ_0842","中级","基础配置","供应商管理","导出","验证导出供应商（按自定义列导出-导出字段顺序与列表一致）是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 调整列表列顺序
步骤2: 按自定义列导出
步骤3: 打开导出文件查看列顺序","数据量: 1000条以上","1. 导出文件列顺序与列表当前展示顺序一致","待定","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0843","中级","基础配置","供应商管理","导出","验证导出供应商（个人导出模板设置-全选字段）是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 打开个人导出模板设置
步骤2: 全选字段并保存
步骤3: 按个人导出模板导出","","1. 模板保存成功
2. 导出文件包含全部字段","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0844","中级","基础配置","供应商管理","导出","验证导出供应商（个人导出模板设置-选择部分字段）是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 打开个人导出模板设置
步骤2: 选择部分字段并保存
步骤3: 按个人导出模板导出","","1. 导出文件仅包含所选字段","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0845","中级","基础配置","供应商管理","导出","验证导出供应商（个人导出模板设置-拖动调整字段顺序）是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 打开个人导出模板设置
步骤2: 拖动调整字段顺序并保存
步骤3: 按个人导出模板导出","","1. 字段可拖拽排序
2. 导出文件列顺序与模板配置一致","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0846","高级","基础配置","供应商管理","导出","验证导出供应商（按个人导出模板导出-导出全部查询结果）是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 设置个人导出模板
步骤2: 选择「按个人导出模板导出-导出全部查询结果」","数据量: 10万条以上","1. 按模板配置导出全部查询结果
2. 导出列与模板一致","待定","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0847","高级","基础配置","供应商管理","导出","验证导出供应商（按个人导出模板导出-勾选部分记录导出）是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 设置个人导出模板
步骤2: 勾选部分记录
步骤3: 选择「按个人导出模板导出-导出勾选记录」","用户A操作:隐藏部分字段并调整字段位置
导出方式:按自定义列导出","1. 按模板导出勾选记录
2. 导出列与模板一致","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0848","低级","基础配置","供应商管理","导出","验证导出供应商（个人导出模板设置取消不保存）是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 打开个人导出模板设置
步骤2: 修改字段配置
步骤3: 点击「取消」","用户A模板:勾选字段X并调整顺序
用户B模板:勾选字段Y（与A不同）
导出方式:按个人导出模板导出","1. 取消后模板配置不保存
2. 模板保持原有配置","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0849","中级","基础配置","供应商管理","导出","验证导出按钮及下拉菜单是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商管理列表页面
步骤2: 点击「导出」按钮
步骤3: 查看下拉菜单","","1. 导出按钮正常展示
2. 下拉菜单包含按自定义列导出、按个人导出模板导出、个人导出模板设置等选项","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","导出按钮正常展示,下拉菜单包含按自定义列导出/按个人导出模板导出/个人导出模板配置"
"APS_JCPZ_0850","中级","基础配置","供应商管理","导出","验证设置列表字段隐藏/展示后按自定义列导出，导出文件仅包含展示字段","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 通过列设置隐藏部分字段
步骤2: 按自定义列导出
步骤3: 打开导出文件查看字段","","1. 导出文件仅包含列表当前展示的字段
2. 隐藏字段不导出","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0851","中级","基础配置","供应商管理","导出","验证导出文件命名规范是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 执行导出操作
步骤2: 查看下载文件名","","1. 导出文件名符合命名规范（如：供应商管理_YYYYMMDD_HHmmss.xlsx）","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0852","中级","基础配置","供应商管理","导出","验证导出文件格式及数据完整性校验","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 执行导出操作
步骤2: 打开导出文件检查格式与数据","","1. 文件为xlsx格式可正常打开
2. 数据行数与列表查询结果一致
3. 无乱码、无错位、无数据缺失","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0853","中级","基础配置","供应商管理","导出","验证导出大数据量时是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.供应商数据量大（如超过1万条）","步骤1: 不设置查询条件直接导出全部数据
步骤2: 观察导出过程","","1. 大数据量导出正常完成
2. 导出过程有进度提示
3. 导出文件数据完整","待定","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0854","中级","基础配置","供应商管理","导出","验证个人导出模板设置入口及基础功能是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 点击导出按钮下拉菜单
步骤2: 点击「个人导出模板设置」
步骤3: 查看设置面板","","1. 设置入口正常显示
2. 设置面板正常弹出
3. 面板功能区域展示完整","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0855","中级","基础配置","供应商管理","导出","验证个人导出模板设置字段列表展示是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 打开个人导出模板设置
步骤2: 查看可选字段列表","","1. 字段列表展示全部21个可导出字段
2. 字段名称与列表字段一致","","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0856","中级","基础配置","供应商管理","导出","验证个人导出模板设置保存后重新打开是否保持","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 设置个人导出模板并保存
步骤2: 关闭后重新打开设置面板","","1. 重新打开后模板配置保持保存时的状态","","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0857","中级","基础配置","供应商管理","导出","未设置个人导出模板时，验证点击按个人导出模板导出是否给出提示","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.当前用户未设置个人导出模板","步骤1: 点击导出按钮
步骤2: 选择「按个人导出模板导出」","","1. 给出未设置模板的提示信息
2. 不执行导出或引导去设置模板","","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0858","高级","基础配置","供应商管理","导出","验证导出大数据量超时处理是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.供应商数据量极大","步骤1: 导出超大数据量
步骤2: 观察超时处理机制","","1. 超时后有明确提示
2. 支持异步导出或转后台任务
3. 系统不崩溃、无报错","","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0859","中级","基础配置","供应商管理","导出","验证无数据时导出是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 设置查询条件使结果为空
步骤2: 执行导出操作","","1. 提示无数据或导出仅含表头的空文件
2. 页面无报错","","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0860","中级","基础配置","供应商管理","导出","验证设置列表字段隐藏/展示/移动位置后，A/B用户按自定义列导出内容标题与各自列表一致","1.已登录系统
2.A、B两个用户分别配置了不同的列表字段展示","步骤1: A用户调整列表字段后按自定义列导出
步骤2: B用户调整列表字段后按自定义列导出
步骤3: 对比两人导出文件","","1. A、B用户导出文件内容与各自列表展示一致
2. 用户间配置互不影响","","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0861","中级","基础配置","供应商管理","导出","验证设置个人导出模板字段及顺序后，A/B用户按个人导出模板导出内容按各自模板配置","1.已登录系统
2.A、B两个用户分别设置了不同的个人导出模板","步骤1: A用户按个人导出模板导出
步骤2: B用户按个人导出模板导出
步骤3: 对比两人导出文件","","1. A、B用户导出文件按各自模板配置
2. 用户间模板互不影响","","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0862","高级","基础配置","供应商管理","供应商详情","验证通过供应商名称链接跳转详情页是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商管理列表页面
步骤2: 点击某条记录的供应商名称链接","","1. 供应商名称显示为可点击链接
2. 点击后正常跳转至该供应商详情页
3. 详情页数据与列表该记录一致","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","点击供应商名称列超链接正常跳转供应商编辑详情页,页面数据与列表一致"
"APS_JCPZ_0863","中级","基础配置","供应商管理","供应商详情","验证详情页分组区域展示及展开/收起是否正常（基础信息、联系人信息）","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商详情页
步骤2: 查看分组区域
步骤3: 分别点击各分组的展开/收起","","1. 详情页分「基础信息」「联系人信息」两个分组区域展示
2. 各区域可正常展开/收起","","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0864","高级","基础配置","供应商管理","供应商详情","验证基础信息区字段展示是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商详情页
步骤2: 查看「基础信息」分组字段","","1. 正确展示：创建组织、使用组织、供应商类型、供应商编码、供应商名称、简称、国家、地址、数据状态、禁用状态、协同方式
2. 各字段值与金蝶ERP同步数据一致
3. 字段为空时展示正常","","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0865","中级","基础配置","供应商管理","供应商详情","验证联系人信息区字段展示是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商详情页
步骤2: 查看「联系人信息」分组字段","","1. 正确展示：联系人、电话、手机、传真、电子邮箱、备注
2. 字段为空时展示正常","","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0866","中级","基础配置","供应商管理","供应商详情","验证详情页字段只读不可编辑","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商详情页
步骤2: 尝试点击/编辑各区域字段","","1. 详情页所有字段均为只读展示，不可编辑","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","详情页字段均为只读展示(disabled select/readonly input),不可编辑"
"APS_JCPZ_0867","高级","基础配置","供应商管理","供应商详情","验证详情页数据与列表数据一致性","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 记录列表中某供应商各字段值
步骤2: 点击进入该供应商详情页
步骤3: 对比详情页与列表数据","","1. 详情页各字段值与列表对应记录完全一致","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","详情页字段值与列表对应记录一致"
"APS_JCPZ_0868","中级","基础配置","供应商管理","供应商详情","验证供应商详情页顶部操作按钮展示是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商详情页
步骤2: 查看顶部操作按钮栏","","1. 顶部展示「返回」等操作按钮
2. 按钮状态正常","","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0869","中级","基础配置","供应商管理","供应商详情","验证详情页「返回」按钮功能是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商详情页
步骤2: 点击「返回」按钮","","1. 点击返回回到供应商列表页
2. 列表保持进入详情前的查询/分页状态","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","点击返回正常回到供应商列表页"
"APS_JCPZ_0870","中级","基础配置","供应商管理","供应商详情","验证供应商详情页点击下一笔切换记录是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商详情页
步骤2: 点击「下一笔」
步骤3: 在最后一条记录上点击「下一笔」","","1. 点击「下一笔」切换到下一条记录详情
2. 切换后数据正确加载
3. 最后一条时下一笔不可点击或给出提示","","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0871","中级","基础配置","供应商管理","供应商详情","验证供应商详情页点击上一笔切换记录是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商详情页
步骤2: 点击「上一笔」
步骤3: 在第一条记录上点击「上一笔」","","1. 点击「上一笔」切换到上一条记录详情
2. 切换后数据正确加载
3. 第一条时上一笔不可点击或给出提示","","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0872","中级","基础配置","供应商管理","查看日志","验证点击记录操作列「日志」按钮弹出日志对话框是否正常","1.已登录系统
2.具有基础配置-供应商管理相关操作权限
3.系统中存在供应商数据","步骤1: 进入基础配置-供应商管理页面
步骤2: 任选一条供应商记录，点击操作列「日志」按钮","","1. 日志对话框正常弹出，页面无报错
2. 列表字段正确展示：操作时间、操作人、操作类型、操作内容、附件信息
3. 仅显示当前这条供应商的操作日志，无其他供应商日志数据串入","通过","胡嘉斌","2026/8/12","李海珍","2026/8/6","点击操作列「日志」按钮弹出日志对话框(共0条),页面无报错"
"APS_JCPZ_0873","中级","基础配置","供应商管理","查看日志","验证新增供应商（ERP同步）后日志记录是否正常","1.已登录系统
2.具有基础配置-供应商管理相关操作权限
3.金蝶ERP已新增供应商并同步至APS系统","步骤1: 在金蝶ERP新增一个供应商，等待同步至APS系统
步骤2: 在供应商管理列表中找到该供应商，点击操作列「日志」按钮
步骤3: 查看「新增」类型日志记录","","1. 生成一条「新增」操作日志
2. 操作时间、操作人正确
3. 操作内容展示新增供应商的字段值","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
"APS_JCPZ_0874","中级","基础配置","供应商管理","查看日志","验证编辑供应商（ERP同步）后日志记录是否正常","1.已登录系统
2.具有基础配置-供应商管理相关操作权限
3.金蝶ERP已修改供应商信息并同步至APS系统","步骤1: 在金蝶ERP修改某供应商的字段信息（如地址），等待同步至APS系统
步骤2: 在供应商管理列表中找到该供应商，点击操作列「日志」按钮
步骤3: 查看「编辑」类型日志记录","","1. 生成一条「编辑」操作日志
2. 操作内容按字段展示变更明细，格式如「字段名：原值XXX，改成XXX」
3. 多字段变更逐条展示无遗漏
4. 操作人、操作时间正确","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
"APS_JCPZ_0875","中级","基础配置","供应商管理","查看日志","验证编辑协同方式（本系统操作）后日志记录是否正常","1.已登录系统
2.具有基础配置-供应商管理相关操作权限
3.系统中存在供应商数据","步骤1: 在供应商管理列表点击某供应商的「编辑」按钮
步骤2: 修改协同方式（如线上→线下）并保存
步骤3: 点击该供应商操作列「日志」按钮
步骤4: 查看「编辑」类型日志记录","协同方式:线上→线下","1. 生成一条「编辑」操作日志
2. 操作内容按字段展示变更明细，如「协同方式：原值线上，改成线下」
3. 操作人为当前登录用户、操作时间正确","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
"APS_JCPZ_0876","中级","基础配置","供应商管理","查看日志","验证启用/停用供应商（ERP同步）后日志记录是否正常","1.已登录系统
2.具有基础配置-供应商管理相关操作权限
3.金蝶ERP已对供应商执行启用/停用并同步至APS系统","步骤1: 在金蝶ERP对某供应商执行停用（或启用），等待同步至APS系统
步骤2: 在供应商管理列表中找到该供应商，点击操作列「日志」按钮
步骤3: 查看「启用/停用」类型日志记录","","1. 分别生成「启用」/「停用」操作日志
2. 操作内容展示状态变更，如「状态：启用，改成停用」
3. 操作人、操作时间正确","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
"APS_JCPZ_0877","中级","基础配置","供应商管理","查看日志","验证日志对话框操作类型筛选是否正常","1.已登录系统
2.具有基础配置-供应商管理相关操作权限
3.系统中存在供应商数据","步骤1: 打开某供应商日志对话框
步骤2: 操作类型下拉分别选择「全部/新增/编辑/启用/停用」进行筛选","","1. 下拉选项包含：全部、新增、编辑、启用、停用（与本模块实际功能一致，无删除/导入/提交/审核/反审等类型）
2. 「全部」展示该供应商所有日志
3. 各类型筛选结果正确，无其他类型日志混入","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
"APS_JCPZ_0878","低级","基础配置","供应商管理","查看日志","验证日志对话框附件信息展示是否正常","1.已登录系统
2.具有基础配置-供应商管理相关操作权限
3.系统中存在供应商数据","步骤1: 打开某供应商日志对话框
步骤2: 查看日志记录的附件信息列","","1. 有附件的日志附件信息正常显示
2. 无附件的日志附件信息为空
3. 无乱码、无报错","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
"APS_JCPZ_0879","低级","基础配置","供应商管理","查看日志","验证无日志记录时日志对话框展示是否正常","1.已登录系统
2.具有基础配置-供应商管理相关操作权限
3.系统中存在未产生过日志的供应商数据","步骤1: 任选一条无日志记录的供应商，点击操作列「日志」按钮","","1. 日志对话框正常弹出
2. 列表为空或显示「暂无数据」提示
3. 页面无报错","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
"APS_JCPZ_0880","低级","基础配置","供应商管理","查看日志","验证关闭日志对话框是否正常","1.已登录系统
2.具有基础配置-供应商管理相关操作权限
3.系统中存在供应商数据","步骤1: 打开某供应商日志对话框
步骤2: 点击「×」或遮罩关闭对话框","","1. 对话框正常关闭
2. 返回供应商管理列表页
3. 列表查询条件及数据状态保持打开前状态","通过","胡嘉斌","2026/8/12","李海珍","2026/8/6","日志对话框通过×/遮罩正常关闭,返回列表页"
"APS_JCPZ_0881","中级","基础配置","供应商管理","查看日志","验证全局操作日志页面查询筛选是否正常","1.已登录系统
2.具有基础配置-供应商管理相关操作权限
3.系统中存在供应商数据
4.具有接口与日志-操作日志查看权限","步骤1: 进入接口与日志-操作日志页面
步骤2: 按操作类型/操作人/操作时间等条件查询供应商管理模块日志","","1. 页面正常加载
2. 各查询条件筛选结果正确
3. 供应商管理的新增/编辑/启用/停用/导出日志均可检索到","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
"APS_JCPZ_0882","中级","基础配置","供应商管理","查看日志","验证导出供应商后全局操作日志记录是否正常","1.已登录系统
2.具有基础配置-供应商管理相关操作权限
3.系统中存在供应商数据
4.具有接口与日志-操作日志查看权限","步骤1: 在供应商管理列表执行一次导出操作
步骤2: 进入接口与日志-操作日志页面
步骤3: 查询该导出操作的日志","","1. 生成一条「导出」操作日志
2. 操作内容包含导出条件/导出数据量，如「导出供应商管理列表，共XX条」
3. 操作人、操作时间正确","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
"APS_JCPZ_0883","中级","基础配置","供应商管理","数据权限","验证配置「供应商编码」字段范围表后，供应商管理列表仅展示符合条件的数据","1.已登录系统
2.已在数据范围配置适用对象为「供应商管理」、数据字段为「供应商编码」的范围表（校验规则：包含，条件值：TEST）
3.已在角色管理中为供应商管理功能应用该范围表并配置数据权限
4.已为测试账号分配该角色
5.供应商列表已存在符合与不符合范围条件的供应商数据","步骤1: 使用测试账号登录系统
步骤2: 进入基础配置-供应商管理页面
步骤3: 查看供应商列表数据及总条数
步骤4: 逐条核对列表中数据的「供应商编码」字段值","范围表:数据字段「供应商编码」，校验规则「包含」，条件值「TEST」
测试账号:（已分配角色的测试账号）","1. 列表仅展示「供应商编码」包含「TEST」的供应商数据
2. 不符合范围条件的供应商数据不展示
3. 列表数据条数与符合条件的数据一致
4. 页面无异常报错","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
"APS_JCPZ_0884","中级","基础配置","供应商管理","数据权限","验证配置「供应商名称」字段范围表后，供应商管理列表仅展示符合条件的数据","1.已登录系统
2.已在数据范围配置适用对象为「供应商管理」、数据字段为「供应商名称」的范围表（校验规则：包含，条件值：测试）
3.已在角色管理中为供应商管理功能应用该范围表并配置数据权限
4.已为测试账号分配该角色
5.供应商列表已存在符合与不符合范围条件的供应商数据","步骤1: 使用测试账号登录系统
步骤2: 进入基础配置-供应商管理页面
步骤3: 查看供应商列表数据及总条数
步骤4: 逐条核对列表中数据的「供应商名称」字段值","范围表:数据字段「供应商名称」，校验规则「包含」，条件值「测试」
测试账号:（已分配角色的测试账号）","1. 列表仅展示「供应商名称」包含「测试」的供应商数据
2. 不符合范围条件的供应商数据不展示
3. 列表数据条数与符合条件的数据一致
4. 页面无异常报错","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
"APS_JCPZ_0885","中级","基础配置","供应商管理","数据权限","验证配置「供应商简称」字段范围表后，供应商管理列表仅展示符合条件的数据","1.已登录系统
2.已在数据范围配置适用对象为「供应商管理」、数据字段为「供应商简称」的范围表（校验规则：包含，条件值：测试）
3.已在角色管理中为供应商管理功能应用该范围表并配置数据权限
4.已为测试账号分配该角色
5.供应商列表已存在符合与不符合范围条件的供应商数据","步骤1: 使用测试账号登录系统
步骤2: 进入基础配置-供应商管理页面
步骤3: 查看供应商列表数据及总条数
步骤4: 逐条核对列表中数据的「供应商简称」字段值","范围表:数据字段「供应商简称」，校验规则「包含」，条件值「测试」
测试账号:（已分配角色的测试账号）","1. 列表仅展示「供应商简称」包含「测试」的供应商数据
2. 不符合范围条件的供应商数据不展示
3. 列表数据条数与符合条件的数据一致
4. 页面无异常报错","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
"APS_JCPZ_0886","中级","基础配置","供应商管理","数据权限","验证配置「供应商类型」字段范围表后，供应商管理列表仅展示符合条件的数据","1.已登录系统
2.已在数据范围配置适用对象为「供应商管理」、数据字段为「供应商类型」的范围表（校验规则：等于，条件值：采购供应商）
3.已在角色管理中为供应商管理功能应用该范围表并配置数据权限
4.已为测试账号分配该角色
5.供应商列表已存在符合与不符合范围条件的供应商数据","步骤1: 使用测试账号登录系统
步骤2: 进入基础配置-供应商管理页面
步骤3: 查看供应商列表数据及总条数
步骤4: 逐条核对列表中数据的「供应商类型」字段值","范围表:数据字段「供应商类型」，校验规则「等于」，条件值「采购供应商」
测试账号:（已分配角色的测试账号）","1. 列表仅展示「供应商类型」等于「采购供应商」的供应商数据
2. 不符合范围条件的供应商数据不展示
3. 列表数据条数与符合条件的数据一致
4. 页面无异常报错","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
"APS_JCPZ_0887","中级","基础配置","供应商管理","数据权限","验证配置「国家」字段范围表后，供应商管理列表仅展示符合条件的数据","1.已登录系统
2.已在数据范围配置适用对象为「供应商管理」、数据字段为「国家」的范围表（校验规则：包含，条件值：中国）
3.已在角色管理中为供应商管理功能应用该范围表并配置数据权限
4.已为测试账号分配该角色
5.供应商列表已存在符合与不符合范围条件的供应商数据","步骤1: 使用测试账号登录系统
步骤2: 进入基础配置-供应商管理页面
步骤3: 查看供应商列表数据及总条数
步骤4: 逐条核对列表中数据的「国家」字段值","范围表:数据字段「国家」，校验规则「包含」，条件值「中国」
测试账号:（已分配角色的测试账号）","1. 列表仅展示「国家」包含「中国」的供应商数据
2. 不符合范围条件的供应商数据不展示
3. 列表数据条数与符合条件的数据一致
4. 页面无异常报错","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
"APS_JCPZ_0888","中级","基础配置","供应商管理","数据权限","验证配置「数据状态」字段范围表后，供应商管理列表仅展示符合条件的数据","1.已登录系统
2.已在数据范围配置适用对象为「供应商管理」、数据字段为「数据状态」的范围表（校验规则：等于，条件值：已审核）
3.已在角色管理中为供应商管理功能应用该范围表并配置数据权限
4.已为测试账号分配该角色
5.供应商列表已存在符合与不符合范围条件的供应商数据","步骤1: 使用测试账号登录系统
步骤2: 进入基础配置-供应商管理页面
步骤3: 查看供应商列表数据及总条数
步骤4: 逐条核对列表中数据的「数据状态」字段值","范围表:数据字段「数据状态」，校验规则「等于」，条件值「已审核」
测试账号:（已分配角色的测试账号）","1. 列表仅展示「数据状态」等于「已审核」的供应商数据
2. 不符合范围条件的供应商数据不展示
3. 列表数据条数与符合条件的数据一致
4. 页面无异常报错","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
"APS_JCPZ_0889","中级","基础配置","供应商管理","数据权限","验证配置「禁用状态」字段范围表后，供应商管理列表仅展示符合条件的数据","1.已登录系统
2.已在数据范围配置适用对象为「供应商管理」、数据字段为「禁用状态」的范围表（校验规则：等于，条件值：否）
3.已在角色管理中为供应商管理功能应用该范围表并配置数据权限
4.已为测试账号分配该角色
5.供应商列表已存在符合与不符合范围条件的供应商数据","步骤1: 使用测试账号登录系统
步骤2: 进入基础配置-供应商管理页面
步骤3: 查看供应商列表数据及总条数
步骤4: 逐条核对列表中数据的「禁用状态」字段值","范围表:数据字段「禁用状态」，校验规则「等于」，条件值「否」
测试账号:（已分配角色的测试账号）","1. 列表仅展示「禁用状态」等于「否」的供应商数据
2. 不符合范围条件的供应商数据不展示
3. 列表数据条数与符合条件的数据一致
4. 页面无异常报错","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
"APS_JCPZ_0890","中级","基础配置","供应商管理","数据权限","验证配置「协同方式」字段范围表后，供应商管理列表仅展示符合条件的数据","1.已登录系统
2.已在数据范围配置适用对象为「供应商管理」、数据字段为「协同方式」的范围表（校验规则：等于，条件值：线上）
3.已在角色管理中为供应商管理功能应用该范围表并配置数据权限
4.已为测试账号分配该角色
5.供应商列表已存在符合与不符合范围条件的供应商数据","步骤1: 使用测试账号登录系统
步骤2: 进入基础配置-供应商管理页面
步骤3: 查看供应商列表数据及总条数
步骤4: 逐条核对列表中数据的「协同方式」字段值","范围表:数据字段「协同方式」，校验规则「等于」，条件值「线上」
测试账号:（已分配角色的测试账号）","1. 列表仅展示「协同方式」等于「线上」的供应商数据
2. 不符合范围条件的供应商数据不展示
3. 列表数据条数与符合条件的数据一致
4. 页面无异常报错","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
"APS_JCPZ_0891","高级","基础配置","供应商管理","数据权限","验证角色配置「全部数据」数据权限时，授权用户查看供应商管理列表的数据范围","1.已登录系统
2.已在角色管理为测试角色配置数据权限为「全部数据」
3.已为测试账号分配该角色
4.系统已存在多级部门及分属不同部门创建的供应商数据","步骤1: 使用测试账号登录系统
步骤2: 进入基础配置-供应商管理页面
步骤3: 查看供应商列表数据及总条数
步骤4: 逐条核对列表中数据的部门归属（按数据创建人所在部门判断）","数据权限:全部数据
测试账号:（已分配角色的测试账号）","1. 列表展示全部供应商数据，无部门限制
2. 列表数据条数与系统供应商总数一致
3. 页面无异常报错","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
"APS_JCPZ_0892","高级","基础配置","供应商管理","数据权限","验证角色配置「本部门及以下数据」数据权限时，授权用户查看供应商管理列表的数据范围","1.已登录系统
2.已在角色管理为测试角色配置数据权限为「本部门及以下数据」
3.已为测试账号分配该角色
4.系统已存在多级部门及分属不同部门创建的供应商数据","步骤1: 使用测试账号登录系统
步骤2: 进入基础配置-供应商管理页面
步骤3: 查看供应商列表数据及总条数
步骤4: 逐条核对列表中数据的部门归属（按数据创建人所在部门判断）","数据权限:本部门及以下数据
测试账号:（已分配角色的测试账号）","1. 列表仅展示测试账号所在部门及其下级部门创建的供应商数据
2. 其他部门（含上级、平级其他分支）创建的供应商数据不展示
3. 页面无异常报错","","胡嘉斌","2026/8/12","李海珍","2026/8/6",""
